Obsidian Sourcing Document,Document Name,Endnote Reference,Rank,XRF?,Full Citation,,,,,,,,,,,,,,,,,,,,,,,
,Eerkins and Glascock 2000,"""{Eerkins, 2000 #11010}""",,,Eerkins* Jelmer W.* and Michael D. Glascock. 2000. Northern Fish Lake Valley and the Volcanic Tablelands of Owens Valley: Two Minor Sources of Obsidian in the Western Great Basin. Journal of California and Great Basin Anthropology 22(2):331-342.,,,,,,,,,,,,,,,,,,,,,,,
,Egger and Miller 2011,"""{Egger, 2011 #11011}""",,,Egger* Anne E.* and Elizabeth L. Miller. 2011. Evolution of the Northwestern Margin of the Great Basin and Range: The Geology and Extensional History of the Warner Range and Environs* Northeastern California. Geosphere 7(3):756-773.,,,,,,,,,,,,,,,,,,,,,,,
,Ellie 1956,"""{Ellie,  1956 #11322}""",,,Ellie* R. B. 1956. The Eskdalemuir Tholeiite and its Contribution to an Understanding of Tholeiite Genesis. Mineralogical Magazine 31:245-254. ,,,,,,,,,,,,,,,,,,,,,,,
,Escola et al. 2016,"""{Escola, 2016 #11013}""",,,Escola* Patricia S.* Salomon Hocsman* and Maria P. Babot. 2016. Moving Obsidian: The Case of Antofagasta de la Sierra Basin (Southern Argntinean Puna) During the Late Middle and Late Holocene. Quaternary International 422:109-122.,,,,,,,,,,,,,,,,,,,,,,,
,Espino et al. 2010,"""{Espino, 2010 #11014}""",10,x,Espino* Denisse Argote* Jesus Sole* Pedro Lopez Garcia* and Osvaldo Sterpone Canuto. 2010. Análisis Composicional de Seis Yacimientos de Obsidiana del Centro Obsidiana del Centro de México y su Clasificación con DBSCAN. Arquelogia 43:198-216.,,,,,,,,,,,,,,,,,,,,,,,
,Estes 2009,"""{Estes, 2009 #11015}""",10,x,Estes* Mark B. 2009. Paleoindian Occupations in the Great Basin: A Comparative Study of Lithic Technological Organization* Mobility* and Ladscape Use from Jakes Valley* Nevada* University of Nevada.,,,,,,,,,,,,,,,,,,,,,,,
,Estrade et al. 2014,"""{Estrade, 2014 #11016}""",,,Estrade* Guillaume* Stefano Salvi* Didier Beziat* Soatsitohaina Rakotovao* and Raymond Rakotondrazafy. 2014. REE and HFSE Mineralization in Peralkaline Granites of the Ambohimirahavavy Alkaline Complex* Ampasindava Peninsula* Madagascar. Journal of African Earth Sciences 94:141-155.,,,,,,,,,,,,,,,,,,,,,,,
,Ewart et al. 1977,"""{Ewart, 1977 #11017}""",,,Ewart* A.* R. N. Brothers* and A. Mateen. 1977. An Outline of the Geology and Geochemistry* and the Possible Petrogenetic Evolution of the Volcanic Rocks of the Tonga-Kermadec-New Zealand Island Arc. Journal of Volcanology and Geothermal Research 2:205-250.,,,,,,,,,,,,,,,,,,,,,,,
,Eyuboglu et al. 2011,"""{Eyuboglu, 2011 #11018}""",,,Eyuboglu* Yener* Sun-Lin Chung* M. Santosh* Francis O. Dudas* and Enver Akaryali. 2011. Transition from Shoshonitic to Adakitic Magmatism in the Eastern Pontides* NE Turkey: Implications for Slab Window Melting. Gondwana Research 19:413-429.,,,,,,,,,,,,,,,,,,,,,,,
,Fergusson and Skinner 2003,"""{Fergusson, 2003 #11019}""",,,Fergusson* Jeffery R.* and Craig E. Skinner. 2003. Colorado Obsidian? Preliminary Results of a Statewide Database of Trace Element Analysis. Southwestern Lore: Journal of Colorado Archaeology 69(4):35-50.,,,,,,,,,,,,,,,,,,,,,,,
,Fernandez et al. 2016,"""{Fernández, 2015 #11020}""",,,Fernández* María Victoria* Charles R. Stern* and Pablo Rodrigo Leal. 2015. Geochemical Analysis of Obsidian from Archaeological Sites in Northwestern Santa Cruz Province* Argentine Patagonia. Quaternary International 375:44-54.,,,,,,,,,,,,,,,,,,,,,,,
,Ferrari et al. 2012,"""{Ferrari, 2012 #11021}""",,,Ferrari* Luca* Teresa Orozco-Esquivel* Vlad Manea* and Marine Manea. 2012. The Dynamic History of the Trans-Mexican Volcanic Belt and the Mexico Subduction Zone. Technophysics 522-523:122-149.,,,,,,,,,,,,,,,,,,,,,,,
,Field et al. 2013,"""{Field, 2013 #11022}""",,,Field* L.* J. Blundy* A. Calvert* and G. Yirgu. 2013. Magmatic History of Dabbahu* a Composite Volcano in the Afar Rift* Ethiopia. Geological Society of America 125(1-2):128-147.,,,,,,,,,,,,,,,,,,,,,,,
,Fontijn et al. 2012,"""{Fontijn, 2012 #11023}""",,,Fontijn* Karen* David Williamson* Evelyne Mbede* and Gerald G. J. Ernst. 2012. The Rungwe Volcanic Province* Tanzania - A Volcanic Review. Journal of African Earth Sciences 63:12-31.,,,,,,,,,,,,,,,,,,,,,,,
,Frahm 2012,"""{Frahm, 2012 #11024}""",1,x,Frahm* E. 2012. Non-Destructive Sourcing of Bronze Age Near Eastern Obsidian Artifacts: Redeveloping and Reassesing Electron Microprobe Analysis for Obsidian Sourcing. Archaeometry 54(4):623-642.,,,,,,,,,,,,,,,,,,,,,,,
,Frahm et al. 2017,"""{Frahm, 2017 #11046}""",1,x,Frahm* Ellery* Jenni Sherriff* Keith N. Wilkinson* Emily J. Beverly* Daniel S. Adler* and Boris Gasparyan. 2017. Ptghi: A New Obsidian Source in the Hazradan River Basin* Armenia. Journal of Archaeological Science 14:55-64.,,,,,,,,,,,,,,,,,,,,,,,
,Frahm 2017,"""{Frahm, 2017 #11335}""",,,Frahm* Ellery* Steven T. Goldstein* and Christian A. Tryon. 2017. Late Holocene Forager-Fisher and Pastoralist Interactions Along the Lake Victoria Shores* Kenya: Perspectives from Portable XRF of Obsidian Artifacts. Journal of Archaeological Science Reports 11:717-742.,,,,,,,,,,,,,,,,,,,,,,,
,Fredricksen 1997,"""{Fredricksen, 1997 #11048}""",,,Fredricksen* Clayton. 1997. Changes in Admiralty Island Obsidian Source Use: The View from Pamwak. Archaeology in Oceania 32(1):68-73.,,,,,,,,,,,,,,,,,,,,,,,
,Freund et al. 2014,"""{Freund, 2014 #11049}""",10,x,Freund* Kyle P. 2014. Obsidian Consumption in Chalcolithic Sardinia: A View from Bingia 'e Monti. Journal of Archaeological Science 41:242-250.,,,,,,,,,,,,,,,,,,,,,,,
,Hughes 2007b,"""{Frison, 2007 #5783}""",10,x,Frison* George C.* and Danny N. Walker (editors). 2007. Medicine Lodge Creek: Holocene Archaeology of the Eastern Big Horn Basin* Wyoming. 1. Clovis Press* Avon.,,,,,,,,,,,,,,,,,,,,,,,
,Gagnevin et al. 2003,"""{Gagnevin, 2003 #11050}""",10,x,Gagnevin* D.* R. Ethien* B. Bonin* B. Moine* G. Freaud* M. C. Gerbe* J. Y. Cottin* G. Michon* S. Tourpin* G. Mamias* C. Perrache* and A Giret. 2003. Open-System Process in the Genesis of Silica-oversaturated Alkaline Rocks of the Rallier-du-Baty Peninsula* Kerguelen Archipelago (Indian Ocean). Journal of Volcanology and Geothermal Research 123:267-300.,,,,,,,,,,,,,,,,,,,,,,,
,Gallagher 2016,"""{Gallagher, 2016 #11051}""",,,Gallagher* Anna. 2016. The Binderbost Site: Exploring Migration and Trade on the Social Landscape of the Pacific Northwest* University of Pittsburgh.,,,,,,,,,,,,,,,,,,,,,,,
,Ganerød* et al. 2011,"""{Ganerød, 2011 #11052}""",,,Ganerød* M.* D. M. Chew* M. A. Smethurst* V. R. Troll* F. Corfu* F. Meade* and T. Prestvik. 2011. Geochronology of the Tardee Rhyolite Complex* Northern Ireland: Implications for Zircon Fission Track Studies* the North Atlantic Igneous Province and the Fish Canyon Sandine Standard. Chemical Geology.,,,,,,,,,,,,,,,,,,,,,,,
,Garcia-Paloma et al. 2002,"""{Garcia-Palomo, 2002 #11053}""",,,Garcia-Palomo* Armando* Jose Luis Marcias* Jose Luis Arce* Lucia Capra* Victor Hugo Garduno* and Juan Manuel Espindola. 2002. Geology of Nevado de Toluca Volcano and Surrounding Areas* Central Mexico. Geological Society of America* Map and Chart Series MCH089:2-26.,,,,,,,,,,,,,,,,,,,,,,,
,Gratuze 1999,"""{Gartuze, 1999 #11071}""",,,Gartuze* B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881.,,,,,,,,,,,,,,,,,,,,,,,
,George 1920,"""{George, 1920 #11054}""",,,George* William Owsley. 1920. The Relation of the Physical Glasses to Their Chemical Composition* University of Minnesota.,,,,,,,,,,,,,,,,,,,,,,,
,George et al. 2004,"""{George, 2004 #11055}""",10,x,George* Rhiannon* Simon Turner* Chris Hawkesworth* Charles R. Bacon* Chris Nye* Pete Sterling* and Scott Dreher. 2004. Chemical Versus Temporal Controls on the Evolution of Tholeiitic and Calc-Alkaline Magmas at Two Volcanoes in the Alaskan-Aleutian Arc. JOurnal of Petrology 45(1):203-219.,,,,,,,,,,,,,,,,,,,,,,,
,iaos_bulletin_43,"""{Ghorabi, 2010 #11108}""",1,x,Ghorabi* Sohilla* Farhang Khademi Nadooshan* Michael D. Glascock* Alireza Hejabari Noubari* and Mansuor Ghorbani. 2010. Provenance of Obsidian Tools from Northwestern Iran Using X-Ray Flourescence Analysis and Neutron Activation Analysis. International Association for Obsidian Studies 43:14-26.,,,,,,,,,,,,,,,,,,,,,,,
,Giambastiani 2004,"""{Giambastiani, 2004 #11056}""",10,x,Giambastiani* Mark Alan. 2004. Prehistoric Obsidian Use on the Volcanic Tableland and its Implications for Settlement Patterns and Technological Change in the Western Great Basin* University of California.,,,,,,,,,,,,,,,,,,,,,,,
,IAOS Bulletin 38,"""{Giesso, 2008 #11104}""",1,x,Giesso* M.* V. Durán* G. Neme* M. D. Glascock* V. Cortegoso* A. Gil* and L. Sanhueza. 2011. A Study of Obsidian Source Usage in the Central Andes of Argentina and Chile. Archaeometry 53(1):1-21.,,,,,,,,,,,,,,,,,,,,,,,
,Giesso et al. 2011,"""{Giesso, 2011 #11057}""",10,x,Giesso* Martin* Monica A. Beron* and Michael D. Glascock. 2008. Obsidian in Western Pampas* Argentina: Source Characterization and Provisioning Strategies. International Association of Obsidian Studies 38:15-18.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock et al. 1998,"""{Glascock, 1998 #11059}""",,,Glascock* Michael D.* J. M. Elam* and R. H. Cobean. 1998. Differentiation of Obsidian Sources in Mesoamerica. Paper presented at the 26th International Archaeometry Symposium* Toronto.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock et al. 1999,"""{Glascock, 1999 #11060}""",1,x,Glascock* Michael D.* Raymond Kunselman* and Daniel Wolfman. 1999. Intrastructure Chemical Differentiation of Obsidian in the Jemez Mountains in the Taos Plateau* New Mexico. Journal of Archaeological Science 26:861-868.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock et al. 2005,"""{Glascock, 2005 #11061}""",,,Glascock* Michael D.* Robert J. Speakman* and Helen P. Pollard. 2005. Chapter Three: LA-ICP-MS as a Supplement to Abbreviated-INAA for Obsidian Artifacts from the Aztec-Tarascan Frontier. In Laser Abalation-ICP-MS in Archaeological Research* edited by Robert J. Speakman* and Hector Neff* pp. 28-38. University of New Mexico Press* Albuquerque.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock et al. 2007,"""{Glascock, 2007 #11062}""",1,x,Glascock* Michael D.* Robert J. Speakman* and Richard L. Burger. 2007. Sources of Archaeological Obsidian in Peru: Description and Geochemistry. Paper presented at the American Chemical Society Symposium Series.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock et al. 2010,"""{Glascock, 2010 #11063}""",1,x,Glascock* Michael D.* Phil C. Weigand* Rodrigo Esparza López* Michael A. Ohnersorgen* Mauricio Garduño* Joseph B. Mountjoy* and J. Andrew Darling. 2010. Geochemical Characterisation of Obsidian in Western Mexico: the Sources in Jalisco* Nayarit* and Zacatecas. In Crossing the Straits: Prehistoric Obsidian Exploration in the Pacific RIm* pp. 201-217. BAR International Series 2152. Archeaopress* Publishers of British Archaeological Reports* Oxford.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock 2010,"""{Glascock, 2002 #11352}""",1,x,Glascock* M.D.. 2002. Characterization of the obsidian sources in Northern Mesoamerica. In: Cobean* R. (Ed.)* A World of Obsidian: the Mining and Trade of a Volcanic Glass in Ancient Mexico. Instituto Nacional de Antropología e Historia and University of Pittsburgh* Mexico* D.F. and Pittsburgh* 205-238.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock et al. 2011,"""{Glascock, 2011 #11064}""",1,x,Glascock* Michael D.* Yaroslav V. Kuzmin* Andrei V. Grebennikov* Vladmir K. Popov* Vitaly E. Medvedev* Igor Y. Shrewkomud* and Nikolai N. Zaitsev. 2011. Obsidian Provenance for Prehistoric Complexes in the Amur River Basin (Russia Far East). Journal of Archaeological Science 38:1832-1841.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock and Giesso 2012,"""{Glascock, 2012 #11058}""",,,Glascock* Michael D.* and Martin Giesso. 2012. New Perspectives on Obsidian Procurement and Exchange at Tiwanaku* Bolivia. Obsidian and Ancient Manufactured Glasses. Univeristy of New Mexico Press* Albuquerque.,,,,,,,,,,,,,,,,,,,,,,,
,Glascock et al. 2016,"""{Glascock, 2016 #11065}""",1,x,Glascock* Michael D.* Alex W. Barker* Sandra Bacuet Crisan* Florin Drasovean* Mihai Gligor* and Dimitrie Negrei. 2016. Sourcing Obsidian Artifacts from Archaeological Sites in Central and Western Romania by X-Ray Flourescence. Analele Banatului* S. N. Arheologie 24:75-85.,,,,,,,,,,,,,,,,,,,,,,,
,Personal Communication Michael Glascock,"""{Glascock, 2017 #11200}""",,,Glascock* Michael D. 2017. Personal Communication.,,,,,,,,,,,,,,,,,,,,,,,
GOOGLE EARTH,Smithsonian Global Volcanism Program,"""{Global Volcanism Program, 2013 #10860}""",,,Global Volcanism Program* 2013. 2013. Volcanoes of the World v. 4.6.2* http://dx.doi.org/10.5479/si.GVP.VOTW4-2013* Smithsonian Institution* Washington DC.,,,,,,,,,,,,,,,,,,,,,,,
,Godfrey-Smith and D'Auria 1987,"""{Godfrey-Smith, 1987 #11066}""",10,x,Godfrey-Smith* Dorothy I.* and J. M. D'auria. 1987. A Consideration of Semi-Quantitative X-Ray Flourescence Analysis Used in Obsidian Source Characterisation. Archaeological Survey of Alberta:233-239.,,,,,,,,,,,,,,,,,,,,,,,
,Godfrey-Smith et al. 1993,"""{Godfrey-Smith, 1993 #11067}""",,,Godfrey-Smith* Dorothy I.* J. Konfeld* A. Strull* and J. M. D'auria. 1993. Obsidian Provenancing and Magmatic Fractionation in Central Oregon. Geoarchaeology: An International Journal 8(5):385-394.,,,,,,,,,,,,,,,,,,,,,,,
,Golitko et al. 2012,"""{Golitko, 2012 #11068}""",10,x,Golitko* Mark* Matthew Shauer* and John Edward Terrell. 2012. Identification ofr Fergusson Island Obsidian on the Sepik Coast of Papua New Guinea. Archaeology Oceania 47:151-156.,,,,,,,,,,,,,,,,,,,,,,,
,Gomez et al. 2008,"""{Gómez, 2008 #11069}""",10,x,Gómez* Cristo* M. Hernández* and Bertila Galván Santos. 2008. Estudia Geoquímico de dos Centros de Producción de Obsidianas en la Prehistoria de Tenerife: El Tabonal de los Guanches (Icod de los Vinos) y el Tabonal Negro (Las Cañadas). Trabajos de Prehistoria 65(2):151-168.,,,,,,,,,,,,,,,,,,,,,,,
,Gourgaud and Vincent 2004,"""{Gourgaud, 2004 #11070}""",,,Gourgaud* A.* and P. M. Vincent. 2004. Petrology of Two Continental Alkaline Intraplate Series at Emi Koussi Volcano* Tibesti* Chad. Journal of Volcanology and Geothermal Research 129:261-290.,,,,,,,,,,,,,,,,,,,,,,,
,Grebennikov et al. 2010,"""{Grebennikov, 2010 #8347}""",,,Grebennikov* Andrei V.* Vladimir K. Popov* Michael D. Glascock* Robert J. Speakman* Yaroslav V. Kuzmin* and Andrei V. Ptashinsky. 2010. Obsidian Provenance Studies on Kamachatka Peninsula (Far Eastern Russia): 2003-9 Results. In Crossing the Straits: Prehistoric Obsidian Source Exploitation in the North Pacific Rim* edited by Yaroslav V. Kuzmin* and Michael D. Glascock. Archaeopress* Oxford.,,,,,,,,,,,,,,,,,,,,,,,
,Grebennikov et al. 2016,"""{Grebennikov, 2016 #11072}""",,,Grebennikov* Andrei V.* Yaroslav V. Kuzmin* Michael D. Glascock* Vladmir K. Popov* Sergey Y. Budnitskiy* Margarita A. Dikova* Evgeniy A. Nozdrachev. 2016. The Lake Kraseno Obsidian Source in Chukotka (Northeastern SIberia): Geological and Geochemical Frameworks for Provenance Studies in Berengia. Archaeological and Anthropological Sciences.,,,,,,,,,,,,,,,,,,,,,,,
,Guido 2015,"""{Guido, 2015 #11073}""",,,Guido* Michael. 2015. Continental and Island Rhyolites* University of Colorado.,,,,,,,,,,,,,,,,,,,,,,,
,Haarklau et al. 2005,"""{Haarklau, 2005 #10856}""",1,x,Haarklau* Lynn* Lynn Johnson* David L. Wagner* Richard E. Hughes* Craig E. Skinner* Jennifer J. Thatcher* and Keith Myhrer. 2005. Fingerprints in Great Basin: The Nellis Air Force Base Regional Sourcing Study. Copies available from Report prepared for Nellis Air Force Base by Prewitt and Associates* Inc.* Austin* Texas.,,,,,,,,,,,,,,,,,,,,,,,
,Hall and Kumura 2002,"""{Hall, 2002 #11074}""",10,x,Hall* Mark* and Hideaki Kimura. 2002. EDXRF Studies of Obsidan Sources in the Northern Hokkaido. Journal of Archaeological Science 29:259-266.,,,,,,,,,,,,,,,,,,,,,,,
,Hamusek-McGann 1995,"""{Hamusek-McGann, 1995 #11075}""",10,x,Hamusek-Mcgann* Blossom. 1995. The Tuscan Obsidan Sorce of Northern California: Archaeological Implications and Chemical Variability* California State University.,,,,,,,,,,,,,,,,,,,,,,,
,Hancock and Carter 2009,"""{Hancock, 2010 #11076}""",10,x,Hancock* R. G. V.* and Tristian Carter. 2010. How Reliable are our Published Archaeometric Analysis* Effects of Analytical Techniques Through Time on the Elemental Analysis of Obsidians. Journal of Archaeological Science 37:243-250.,,,,,,,,,,,,,,,,,,,,,,,
,Henry and Boden 1998,"""{Henry, 1998 #11077}""",10,x,Henry* Christopher D.* and David R. Boden. 1998. Geology of the Mount Blitzen Quadrangle: Elko County* Nevada. Map 110 ed. Nevada Bureau of Mines and Geology.,,,,,,,,,,,,,,,,,,,,,,,
,Personal Communication Richard Hughes,"""{Hughes, 2005 #11336}""",1,,Hughes* Richard E. 2005. Personal Communication.,,,,,,,,,,,,,,,,,,,,,,,
,Hughes 1982,"""{Hughes, 1982 #11098}""",10,x,Hughes* Richard E. 1982. Age and Exploitation of Obsidian from the Medicine Lake Highlands* California. Journal of Archaeological Science 9:173-185., ,,,,,,,,,,,,,,,,,,,,,,
,Hughes 1986,"""{Hughes, 1986 #11099}""",10,x,Hughes* Richard E. 1986. Trace Element Composition of Obsidian Butte* Imperial County* California. Southern California Academy of Sciences 85:35-45.,,,,,,,,,,,,,,,,,,,,,,,
,Hughes 1986a,"""{Hughes, 1986 #11100}""",10,x,Hughes* Richard E. 1986. Energy Dispersive X-Ray Flourescence Analysis of Obsidian from Dog Hill and Burns Butte* Oregon. Northwest Science 60:73-80.,,,,,,,,,,,,,,,,,,,,,,,
DOCUMENT NOT SAVED,Hughes 1986c,"""{Hughes, 1986 #11101}""",10,x,Hughes* Richard E. 1986. Diachronic Variability in Obsidain Procurement Patterns in Northeast California and South Central Oregon. University of California Publications: Archaeology* University of California Press vol. 17.,,,,,,,,,,,,,,,,,,,,,,,
,Hughes 1989,"""{Hughes, 1989 #11102}""",10,x,Hughes* Richard E. 1989. A New Look at Mono Basin Obsidians. Contributions of th Archaeological Research Facility 48. University of Berkeley Press* Berkeley.,,,,,,,,,,,,,,,,,,,,,,,
,Hughes 2005,"""{Hughes, 2005 #11103}""",10,x,Hughes* Richard E. 2005. Geochemical Research Laboratory Letter Report 2005-11* edited by Dr. Sannie Osborn.,,,,,,,,,,,,,,,,,,,,,,,
INTERNET SOURCE,IAOS World Source Catalog,"""{IAOS, n. d. #11107}""",,,IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog* Northwest Research and the Archaeometry Laboratory at MURR.,,,,,,,,,,,,,,,,,,,,,,,
,Innocenti et al. 1976,"""{Innocenti, 1976 #11109}""",,,Innocenti* F.* R. Mazzuoli* G. Pasquare* F. Radicati Di Brozolo* and L. Villari. 1976. Evolution of the Volcanism in the Area of Interaction Between the Arabian* Anatolian* and Iranian Plates (Lake Van* Eastern Turkey). Journal of Volcanology and Geothermal Research 1:103-112.,,,,,,,,,,,,,,,,,,,,,,,
,Ives 1942,"""{Ives, 1942 #11110}""",,,Ives* Ronald L. 1942. Early Human Occupation of the Colorado Headwaters Region: An Archaeological Reconaissance. Geographical Review 32(3):448-462.,,,,,,,,,,,,,,,,,,,,,,,
,Jackson 1989,"""{Jackson, 1989 #11111}""",10,x,Jackson* Thomas L. 1989. Late Prehistoric Obsidian Production and Exchange in the North Coast Ranges* California. Contributions of the Archaeological Research Facility 48:79-94.,,,,,,,,,,,,,,,,,,,,,,,
,James et al. 1996 ,"""{James, 1996 #11337}""",10,x,James* Malcolm A.* Jeff Bailey* and John D'Auria. 1996. A Volcanic Glass Library for the Pacific Northwest: Problems and Prospects. Canadian Journal of Archaeology 20:93-122. ,,,,,,,,,,,,,,,,,,,,,,,
,Jenkins and Connolly 1990,"""{Jenkins, 1990 #11112}""",10,x,Jenkins* Dennis L.* and Thomas J. Connolly. 1990. Archaeology of Indian Grade Spring: A Special Function Site on Stinkingwater Mountain* Harney County* Oregon. University of Oregon Anthropological Papers 42.,,,,,,,,,,,,,,,,,,,,,,,
,Jenkins et al. 2004,"""{Jenkins, 2004 #11113}""",,,Jenkins* Dennis L.* Thomas J. Connolly* and C. Melvin Aikens. 2004. Early and Middle Holocene Archaeology of the Northern Great Basin. University of Oregon Anthropological Papers 62.,,,,,,,,,,,,,,,,,,,,,,,
,Jew et al. 2015,"""{Jew, 2015 #11114}""",1,x,Jew* Nicholas P.* Amira F. Ainis* Pamela E. Endzweig* Jon M. Erlandson* Craig E. Skinner* and Kelsey J. Sullivan. 2015. Chipped Stone Crescents from America's Far West: Descriptive and Geochemical Analysis from the Northern Great Basin. North American Archaeologist 36(2):119-140.,,,,,,,,,,,,,,,,,,,,,,,
,Jia et al. 2010,"""{Jia, 2010 #11116}""",1,x,Jia* Peter Weiming* Trudy Doelman* Chuanjia Chen* Hailong Zhao* Sam Lin* Robin Torrence* and Michael D. Glascock. 2010. Moving Sources: A Preliminary Study of Volcanic Glass Artifact Distributions in Northeast China Using pXRF. Journal of Archaeological Science 37:1670-1677.,,,,,,,,,,,,,,,,,,,,,,,
,Jia et a 2013,"""{Jia, 2013 #11115}""",,,Jia* Peters  W.* Trudy Doelman* Robin Torrence* Michael D. Glascock. 2013. New Pieces: The Acquisitioin and Distribution of Volcanic Glass Souces in Northeast China During the Holocene. Journal of Archaeological Science 40:971-982.,,,,,,,,,,,,,,,,,,,,,,,
,Jimenez et al. 2002,"""{Jimenez, 2002 #11117}""",,,Jimenez* L. Cruz* D. Tenorio* and M. Jimenez Reyes. 2002. Caracterization por ANN de Muestras de Yacimientos do Obsidiana del Golfo de Mexico. Ciencias UANL 5(3):351-356.,,,,,,,,,,,,,,,,,,,,,,,
,Jónasson 1994,"""{Jónasson, 1994 #11118}""",,,Jónasson* K. 1994. Rhyolite Volcanism in the Krafta Central Volcano* North-East Iceland. Bull Volcanol 56:516-528.,,,,,,,,,,,,,,,,,,,,,,,
,Jónasson 2007,"""{Jónasson, 2007 #11119}""",10,x,Jónasson* Kristjan. 2007. Silicic Volcanism in Iceland: Composition and Distribution within the Active Volcanic Zones. Journal of Geodynamics 43:101-117.,,,,,,,,,,,,,,,,,,,,,,,
,Jordan et al. 2001,"""{Jordan, 2001 #11120}""",,,Jordan* Teresa* W. Matthew Burns* Ricardo Veiga* Francisco Pangaro* Peter Copeland* Shari Kelley* and Constantino Mpodozis. 2001. Extension and Basin Formation in the Southern Andes Caused by Increasing Convergent Rate: A Mid-Cenozoic Trigger for the Andes. Tectonics 20:308-324.,,,,,,,,,,,,,,,,,,,,,,,
,Personal Communication Bruce Kaiser,"""{Kaiser, 2017 #11199}""",1,x,Kaiser* Bruce. 2017. Personal Communication.,,,,,,,,,,,,,,,,,,,,,,,
,Kar et al. 1998,"""{Kars, 1998 #11121}""",10,x,Kars* A.* B. Weaver* J. Davidson* M. Colucci. 1998. Origin of Differentiated Volcanic and Plutonic Rocks from Ascension Island* South Atlantic Ocean. Journal of Petrology 39(5):1009-1024.,,,,,,,,,,,,,,,,,,,,,,,
,Kasztovszky et al. 2008,"""{Kasztovszky, 2008 #11122}""",,,Kasztovszky* ZS.* K. T. Biro* A. Marko* V. Dobosi. 2008. Cold Neutron Prompt Gamma Activation Analysis - a Non-Destructive Method for Characterisation of High Silica Content Chipped Stone Tools and Raw Materials. Archaeometry 50(1):12-29.,,,,,,,,,,,,,,,,,,,,,,,
,Katili 1975,"""{Katili, 1975 #11123}""",,,Katili* John A. 1975. Volcanism and Plate Tectonics in the Indonesian Island Arcs. Tectonophysics 26:165-188.,,,,,,,,,,,,,,,,,,,,,,,
,Kaufman et al. 2012,"""{Kaufman, 2012  #11124}""",10,x,Kaufman* Darrell S.* Britta J. L. Jensen* Alberto V. Reyes* Caleb J. Schiff* Duane G. Froese* and Nicholas J. G. Pearce. 2012. Late Quaternary Tephrostratigraphy* Ahklun Mountains* SW Alaska. Journal of Quaternary Science 272(4):344-359.,,,,,,,,,,,,,,,,,,,,,,,
,Oppenheimer et al. 2010,"""{Khalidi, 2010 #11182}""",,,Khalidi* Lamya* Clive Oppenheimer* Bernard Gratuze* Sophie Boucetta* Ali Sanabani* and Ahmed Al-Mosabi. 2010. Obsidian Sources in Highland Yemen and their Relevance to Archaeological Research in the Red Sea Region. Journal of Archaeological Science 37:2332-2345.,,,,,,,,,,,,,,,,,,,,,,,
,Khazeae et al. 2014,"""{Khazaee, 2014  #11125}""",1,x,Khazaee* M.* M. D. Glascock* P. Masjedi* F. Khadmi Nadoshan* R. Soleimani Farsani* M. Delfan* A. Mansori* B. Sodaie* and A. Dolatyari. 2014. Sourcing the Obsidian of Prehistoric Tools Found in Western Iran to Southeast Turkey: A Case Study for the Sites Eastern Chai Sabz and Chogha Ahovan. Anatolian Studies 64:23-31.,,,,,,,,,,,,,,,,,,,,,,,
,Kimura and Gyra 2016,"""{Kimura, 2016 #11126}""",10,x,Kimura* Hideaki* and Evgeny Girya. 2016. Human Activity Patterns at the Horokazawa TOma Upper Stone Tool Manufacturing SIte in the Shirataki Obsidian Source Area: Combing Excavation with Excavation. Quaternary International 397:448-473.,,,,,,,,,,,,,,,,,,,,,,,
,Kinzler 1985,"""{Kinzler, 1985 #11127}""",,,Kinzler* Rosamond Joyce. 1985. A Field* Petrologic* and Geochemical Study of the Callahan Flow* a Basaltic Andesite from Medicine Lake Shield Volcano* California. Copies available from Massachusetts Institute of Technology.,,,,,,,,,,,,,,,,,,,,,,,
,Knappen 1926,"""{Knappen, 1926 #11128}""",,,Knappen* Russell S. 1926. Geology and Mineral Resources of the Aniakchak District. Copies available from Mineral Resources of Alaska* USGS.,,,,,,,,,,,,,,,,,,,,,,,
,Knight et al. 2011,"""{Knight, 2011 #11129}""",,,Knight* Charles L. F.* Andrea M. Cuellar* Michael D. Glascock* Minard L. Hall* and Patricia A. Mothes. 2011. Obsidian Source Characterization in the Cordillera Real and Eastern Piedmont of the North Ecuadorian Andes. Journal of Archaeological Science 38:1069-1079.,,,,,,,,,,,,,,,,,,,,,,,
