Continent,Region/Plate,Archaeological Grouping,Country,State (or the like),Serial,Group Serial,Source General,Source Common Name,Obsidian Age,Secondary Age,Ages Average,Formation Type,Boundary Activity,Boundary Type,Crust Type,Normative Occurrence,Latitude,Longitude,Loc. Notes,Conservative Grouping,Hypothetical Grouping,Tool Quality,Type,Geology,Ethnominerology,Other Names,Bibliographies,Known?,Catalogued?,,Total No. Known,Total No. Catalogued,Total %,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN026,G-JPN026,Kuwanotki-turu,Kuwanotki-turu,,,,,Active,Convergent,Continental,Mature Island Arc,32.012,130.349,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Kuwanokizuru (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.. ; Uemine, Atusushi. 2016. Personal Communication.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN027,G-JPN027,Matsuura,Matsuura,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Muta (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN028,G-JPN028,Minamiseki,Minamiseki,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN029,G-JPN029,Misatosan,Misatosan,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN030,G-JPN030,Monbetsu,Monbetsu,,,,,Active,Convergent,Continental,Mature Island Arc,43.965,143.174,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Lynch, Sean C., Hirofumi Kato, and Andrzej W. Weber. 2016. Obsidian Resource Use from Jomon to Oshotsk Period on Rebun Island: An Analysis of Archaeological Obsidian. Journal of Archaeological Science.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN031,G-JPN031,Nayoro,Nayoro,,,,,Active,Convergent,Continental,Mature Island Arc,44.193,142.32,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Lynch, Sean C., Hirofumi Kato, and Andrzej W. Weber. 2016. Obsidian Resource Use from Jomon to Oshotsk Period on Rebun Island: An Analysis of Archaeological Obsidian. Journal of Archaeological Science.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN032,G-JPN032,Nittou,Nittou,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Nito (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN033,G-JPN033,Oguni,Oguni,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN034,G-JPN034,Ojika,Ojika,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN035,G-JPN035,Oketo,Oketo Group General,,23-2.6,12.8,,Active,Convergent,Continental,Mature Island Arc,43.41,143.32,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Okedo (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Hall, Mark, and Hideaki Kimura. 2002. EDXRF Studies of Obsidan Sources in the Northern Hokkaido. Journal of Archaeological Science 29:259-266. ; Kuzmin, Yaroslav V., Michael D. Glascock, and Hiroyuki Sato. 2002. Sources of Archaeological Obsidian on Sakhalin Island (Russia Far East). Journal of Archaeological Science 29:741-749. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Shimane,JPN036,G-JPN036,Oki,Oki Group General,,2.6-0,1.3,,Active,Convergent,Continental,Mature Island Arc,36.296,133.244,,,,,Obsidian,"""There are six geochemically unique subsources in the Oki group (Watanabe and Suzuki 2009).""",,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN037,G-JPN037,Okushiri,Okushiri,,,,,Active,Convergent,Continental,Mature Island Arc,42.175,139.348,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Lynch, Sean C., Hirofumi Kato, and Andrzej W. Weber. 2016. Obsidian Resource Use from Jomon to Oshotsk Period on Rebun Island: An Analysis of Archaeological Obsidian. Journal of Archaeological Science.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Nagano,JPN038,G-JPN038,Omegura,Omegura Group General,,23-2.6,12.8,,Active,Convergent,Continental,Mature Island Arc,36.0313,138.365,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Wada I and II (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Saga,JPN039,G-JPN039,Ooshirakawa,Ooshirakawa,,23,23,,Active,Convergent,Continental,Mature Island Arc,33.19,129.896,LOCATION IS UNKNOWN AND APPROXIMATED,,,,Obsidian,,,"""Literature suggests alternate names for this source include Ooishi and Shirakawa (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN040,G-JPN040,Orekoshiuchi,Orekoshiuchi,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Niigata,JPN041,G-JPN041,Orii,Orii,,,,,Active,Convergent,Continental,Mature Island Arc,37.925,139.518,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN042,G-JPN042,Oumu,Oumu,,,,,Active,Convergent,Continental,Mature Island Arc,44.45,142.971,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Lynch, Sean C., Hirofumi Kato, and Andrzej W. Weber. 2016. Obsidian Resource Use from Jomon to Oshotsk Period on Rebun Island: An Analysis of Archaeological Obsidian. Journal of Archaeological Science.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN043,G-JPN043,Rubeshibe,Rubeshibe Group General,,,,,Active,Convergent,Continental,Mature Island Arc,43.313,143.498,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN044,G-JPN044,Ryuugamizu,Ryuugamizu,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN046,G-JPN046,Shibakawa,Shibakawa,,,,,Active,Convergent,Continental,Mature Island Arc,32.812,130.067,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Lee, Gikil, and Jongchan Kim. 2015. Obsidians from the Sinbuk Archaeological Site in Korea - Evidences for Strait Crossing and Long-Distance Exchange of Raw Material in Paleolithic Age. Journal of Archaeological Science: Reports 2:458-466.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN047,G-JPN047,Shiogama,Shiogama,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Kumamoto,JPN048,G-JPN048,Shirahamarindo,Shirahamarindo,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Shimahama (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Uemine, Atusushi. 2016. Personal Communication.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN049,G-JPN049,Shirataki,Shirataki Group General,,23,23,,Active,Convergent,Continental,Mature Island Arc,43.56,143.08,,,,,Obsidian,"""There are six geochemically unique subsources in the Shirataki group (Watanabe and Suzuki 2009).""",,"""Literature suggests an alternate name for this source includes Akaishshiyama (Hall and Kumura 2002).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Hall, Mark, and Hideaki Kimura. 2002. EDXRF Studies of Obsidan Sources in the Northern Hokkaido. Journal of Archaeological Science 29:259-266. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN050,G-JPN050,Shizukuishi,Shizukuishi,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN051,G-JPN051,Takaharayama,Takaharayama,,,,,Active,Convergent,Continental,Mature Island Arc,36.0313,138.365,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Takayama (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN052,G-JPN052,Takigawa,Takigawa,,23,23,,Active,Convergent,Continental,Mature Island Arc,43.683,141.842,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Takikawa (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Lynch, Sean C., Hirofumi Kato, and Andrzej W. Weber. 2016. Obsidian Resource Use from Jomon to Oshotsk Period on Rebun Island: An Analysis of Archaeological Obsidian. Journal of Archaeological Science. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN053,G-JPN053,Tatesina,Tatesina,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN054,G-JPN054,Todoroki,Todoroki,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN055,G-JPN055,Tokachi,Tokachi Group General,,23-2.6,12.8,,Active,Convergent,Continental,Mature Island Arc,43.324,143.084,,,,,Obsidian,,,"""Literature suggests an alternate name for this source is Tokachiishikawa and Mitsumata (Hall and Kumura 2002).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN056,G-JPN056,Tokoro,Tokoro,,23,23,,Active,Convergent,Continental,Mature Island Arc,43.4,143.31,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Tokoro Mountain (Hall and Kumura 2002).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Hall, Mark, and Hideaki Kimura. 2002. EDXRF Studies of Obsidan Sources in the Northern Hokkaido. Journal of Archaeological Science 29:259-266. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN057,G-JPN057,Tomon,Tomon,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN058,G-JPN058,Toyoizumi,Toyoizumi,,,,,Active,Convergent,Continental,Mature Island Arc,42.831,140.791,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN059,G-JPN059,Toyoura,Toyoura,,,,,Active,Convergent,Continental,Mature Island Arc,42.622,140.623,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Lynch, Sean C., Hirofumi Kato, and Andrzej W. Weber. 2016. Obsidian Resource Use from Jomon to Oshotsk Period on Rebun Island: An Analysis of Archaeological Obsidian. Journal of Archaeological Science.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN060,G-JPN060,Tukase,Tukase,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN061,G-JPN061,Turugasaka,Turugasaka,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN062,G-JPN062,Uotsu,Uotsu,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Japan,JPN063,G-JPN063,Yasushima,Yasushima,,,,,Active,Convergent,Continental,Mature Island Arc,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",1,,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Nagasaki,JPN064,G-JPN064,Yodohime,Yodohime,,23-2.6,12.8,,Active,Convergent,Continental,Mature Island Arc,33.172,129.75,,,,,Obsidian,,,"""Literature suggests alternate names for this source may include Nakazato, Oosaki, and Hurusato (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Lee, Gikil, and Jongchan Kim. 2015. Obsidians from the Sinbuk Archaeological Site in Korea - Evidences for Strait Crossing and Long-Distance Exchange of Raw Material in Paleolithic Age. Journal of Archaeological Science: Reports 2:458-466. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366.  ; Uemine, Atusushi. 2016. Personal Communication.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Miyagi,JPN065,G-JPN065,Yukura,Yukura,,2.6,2.6,,Active,Convergent,Continental,Mature Island Arc,38.677,140.637,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Yunokura (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Aomori,JPN066,G-JPN066,Hachimoriyama,Hachimoriyama,,2.6,2.6,,Active,Convergent,Continental,Mature Island Arc,40.67,140.165,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Akita,JPN067,G-JPN067,Kanegasaki,Kanegasaki,,,,,Active,Convergent,Continental,Mature Island Arc,39.854,140.102,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Nagano,JPN068,G-JPN068,Tsumetayama,Tsumetayama,,23-2.6,12.8,,Active,Convergent,Continental,Mature Island Arc,36.159,138.057,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Nagasaki,JPN069,G-JPN069,Furusato,Furusato,,23-2.6,12.8,,Active,Convergent,Continental,Mature Island Arc,33.008,129.726,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366.  ; Uemine, Atusushi. 2016. Personal Communication.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Kagoshima,JPN070,G-JPN070,Obama,Obama,,23-2.6,12.8,,Active,Indeterminant,Continental,Mature Island Arc,31.56,130.679,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Kagoshima,JPN071,G-JPN071,Mifune,Mifune,,23-2.6,12.8,,Active,Indeterminant,Continental,Mature Island Arc,31.606,130.498,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473. ; Matsuda, T., K. Nakamura, and A. Sugimura. 1967. Late Cenozoic Orogeny in Japan. Tectonophysics 4(4-6):349-366. """,1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Hokkaido,JPN072,G-JPN072,Akangawa,Akangawa,,,,,Active,Convergent,Continental,Mature Island Arc,42.831,140.791,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.""",1,1,,,,,,,,,,,,,,,,,
Eurasia,Japan,Japan,Japan,Niigata,JPN073,G-JPN073,Akiu,Akiu,,,,,Active,Convergent,Continental,Mature Island Arc,37.925,139.518,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Watambe, K., and M. Suzuki. 2009. Analytical Data of Geologic Obsidians from Japan by INAA Using Middle- and Long-Lived Nuclides. Journal of Radioanalytical and Nuclear Chemistry 279(2):459-473.""",1,1,,,,,,,,,,,,,,,,,
