,,,,,,,Na,,Na%,,Na2O,,Na2O%,,Mg,,Mg%,,MgO,,MgO%,,Cl,,K,,K%,,K2O,,K2O%,,Sc,,Ti,,Ti%,,TiO2,,TiO2%,,Mn,,Mn%,,MnO,,MnO%,,Fe,,Fe%,,FeO%,,Fe2O3,,Fe2O3%,,Co,,Zn,,Ga,,Rb,,Sr,,Y,,Zr,,Nb,,Sb,,Cs,,Ba,,La,,Ce,,Nd,,Tb,,Dy,,Sm,,Eu,,Yb,,Lu,,Hf,,Ta,,Pb,,Th,,U,
Duran et al 2011,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,528,,49,,1195,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,,398,,39,,960,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,,469,,42,,1095,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,261,,16,,744,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049,,537,,60,,1360,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 38,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,28781,,,,,,,,,,,,,,,,579,,42744,,,,,,,,,,,,,,,,,,448,,,,,,,,,,,,,,,,,,,,27,,,,185,,63,,,,149,,,,,,,,647,,33,,60,,,,,,,,,,,,,,,,,,,,,,24,,6,
IAOS Bulletin 38,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,39591,,,,,,,,,,,,,,,,664,,39450,,,,,,,,,,,,,,,,,,449,,,,,,,,,,,,,,,,,,,,28,,,,183,,74,,,,168,,,,,,,,658,,33,,60,,,,,,,,,,,,,,,,,,,,,,24,,6.5,
IAOS Bulletin 38,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,29197,,,,,,,,,,,,,,,,590,,40063,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,27,,,,186,,85,,,,198,,,,,,,,623,,33,,61,,,,,,,,,,,,,,,,,,,,,,24,,6,
IAOS Bulletin 38,CHL012,Laguna del Maule,Artifacts,,EDXRF,1,29849,,,,,,,,,,,,,,,,590,,36771,,,,,,,,,,,,,,,,,,456,,,,,,,,,,,,,,,,,,,,30,,,,191,,68,,,,171,,,,,,,,645,,34,,63,,,,,,,,,,,,,,,,,,,,,,25,,6,
Seelenfreund et al 2005,CHL012,Laguna del Maule,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73700,17000,7.37,1.7,,,,,,,,,,,,,305,33,146,30,96,37,203,34,,,,,,,646,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stern 2017,CHL013,Nevados de Sollipulli,Geological,,EDXRF or ICP-MS,1,34941.2391093901,,3.49412391093901,,,,4.71,,1266.35653144771,,0.126635653144771,,,,0.21,,,,32790.5855874984,,3.27905855874984,,,,3.95,,,,1495,,,,,,,,496,,,,,,,,12869.2842382115,,1.28692842382115,,,,,,1.84,,,,,,,,113,,134,,15,,226,,7,,,,5.5,,774,,21.1,,41.1,,15.8,,0.43,,2.56,,2.55,,0.66,,1.69,,0.31,,5.2,,,,,,11.2,,3.5,
Gomez et al 2008,CNR001,Tabonal de los Guanches,Source Sample,,EDXRF,14,,,,,,,,,,,,,,,,,,,43493.5987515393,2868.96870355429,4.34935987515393,0.286896870355429,5.2393,0.3456,5.2393,0.3456,,,3399.19228843265,663.894441662494,0.339919228843265,0.0663894441662494,0.5671,0.11076,0.5671,0.11076,1499.33699850574,71.946491302264,0.149933699850574,0.00719464913022639,0.1936,0.00929,0.1936,0.00929,22211.4054104828,3566.82004508736,2.22114054104828,0.356682004508736,,,3.1757,0.50997,3.1757,0.50997,,,149.9286,1.32806,,,160.6429,5.81255,,,61.9286,3.26907,1145.7857,39.40749,217.2857,7.05395,,,,,201,5.84413,130.4286,4.60291,,,,,,,,,,,,,,,,,,,,,,,28.7143,1.77281,,
Gomez et al 2008,CNR002,Tabonal Negro,Source Sample,,EDXRF,13,,,,,,,,,,,,,,,,,,,42075.7172279078,850.56288589749,4.20757172279078,0.085056288589749,5.0685,0.10246,5.0685,0.10246,,,2743.44967451177,,0.274344967451177,0.0286572709063595,0.4577,0.04781,0.4577,0.04781,1519.47272265922,39.1872170064,0.151947272265922,0.00391872170064,0.1962,0.00506,0.1962,0.00506,27126.9124553823,952.956509487131,2.71269124553823,0.0952956509487131,,,3.8785,0.13625,3.8785,0.13625,,,137.4615,5.25381,,,170,5.25991,,,66.4615,2.72688,1235.3846,39.88011,234.4615,7.91218,,,,,214.4615,10.59572,133.9231,5.76573,,,,,,,,,,,,,,,,,,,,,,,31.6154,2.10311,,
Bellot-Gurrlet et al 2008,COL001,Azafatudo,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.5,,105.3,,11.62,,43.3,,19.17,,,,,,1447,,13.35,,,,,,,,,,,,,,,,,,,,,,19.48,,7.17,,4.41,
Bellot-Gurrlet et al 2008,COL001,Azafatudo,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.5,,101.4,,11.33,,42.2,,19.19,,,,,,1424,,9.48,,,,,,,,,,,,,,,,,,,,,,19.76,,5.9,,4.43,
Bellot-Gurrlet et al 2008,COL002,Rio Hondo,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,82.2,,8.03,,81.6,,11.2,,,,,,511,,25.05,,,,,,,,,,,,,,,,,,,,,,31.06,,27.52,,12.39,
Bellot-Gurrlet et al 2008,COL002,Rio Hondo,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.1,,82.2,,8.2,,81.4,,11.26,,,,,,501,,25.39,,,,,,,,,,,,,,,,,,,,,,31.26,,27.56,,12.46,
Bellot-Gurrlet et al 2008,COL002,Rio Hondo,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2,,82.5,,8.15,,81.4,,11.22,,,,,,511,,25.81,,,,,,,,,,,,,,,,,,,,,,31,,27.38,,12.43,
Bellot-Gurrlet et al 2008,COL002,Rio Hondo,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.9,,84.3,,8.16,,83.9,,11.36,,,,,,493,,25.41,,,,,,,,,,,,,,,,,,,,,,30.72,,27.41,,12.31,
Bellot-Gurrlet et al 2008,COL004,Calites,Geological,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.4,,80.5,,8.07,,80.2,,11.24,,,,,,484,,25.66,,,,,,,,,,,,,,,,,,,,,,31.13,,27.42,,12.43,
Bellot-Gurrlet et al 2008,COL004,Calites,Geological,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,80.7,,8.11,,80.1,,11.23,,,,,,477,,25.09,,,,,,,,,,,,,,,,,,,,,,31.59,,27.5,,12.38,
Bellot-Gurrlet et al 2008,COL004,Calites,Geological,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.1,,81.2,,8.21,,81,,11.27,,,,,,485,,24.96,,,,,,,,,,,,,,,,,,,,,,31.54,,27.71,,12.46,
Bellot-Gurrlet et al 2008,COL004,Calites,Geological,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.8,,85.9,,8.18,,83.5,,11.31,,,,,,584,,24.97,,,,,,,,,,,,,,,,,,,,,,31.14,,27.28,,12.221,
Dyrdahl and Speakman 2013,ECU005,Carboncillo,Source Samples,,EDXRF,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,26,,,,,,,9844,328,,,,,,,,,,,55,3,21,1,134,5,85,3,39,2,120,5,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,
Bellot-Gurrlet et al 2008,ECU008,Cotopaxi,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9,,268.8,,8.33,,89,,8.44,,,,,,1063,,22.7,,,,,,,,,,,,,,,,,,,,,,16.66,,8.46,,4.47,
Bellot-Gurrlet et al 2008,ECU008,Cotopaxi,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,,271.3,,8.28,,90.4,,8.58,,,,,,1062,,22.83,,,,,,,,,,,,,,,,,,,,,,16.71,,8.44,,4.49,
Bellot-Gurrlet et al 2008,ECU008,Cotopaxi,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,,276,,8.4,,92.6,,8.61,,,,,,1070,,22.77,,,,,,,,,,,,,,,,,,,,,,16.63,,8.47,,4.49,
Bellot-Gurrlet et al 2008,ECU008,Cotopaxi,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1,,209.8,,13.92,,76.2,,11.25,,,,,,903,,24.34,,,,,,,,,,,,,,,,,,,,,,26.21,,10.75,,5.81,
Bellot-Gurrlet et al 2008,ECU008,Cotopaxi,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.8,,133.4,,24.11,,114.1,,12.58,,,,,,1091,,37.24,,,,,,,,,,,,,,,,,,,,,,28.54,,16.39,,6.59,
Bellot-Gurrlet et al 2008,ECU008,Cotopaxi,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5,,254.6,,7.94,,91.5,,8.36,,,,,,921,,20.14,,,,,,,,,,,,,,,,,,,,,,18.06,,6.94,,3.97,
Bellot-Gurrlet et al 2008,ECU008,Cotopaxi,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3,,311.1,,10.79,,128.5,,7.69,,,,,,878,,20.85,,,,,,,,,,,,,,,,,,,,,,15.53,,6.62,,2.88,
Bellot-Gurrlet et al 2008,ECU008,Cotopaxi,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4,,177.1,,20.96,,105.8,,12.01,,,,,,1086,,31.21,,,,,,,,,,,,,,,,,,,,,,15.53,,15.84,,6.41,
Bellot-Gurrlet et al 2008,ECU009,El Talbon,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,22,,18,,102,,13,,,,,,991,,20,,,,,,,,,,,,,,,,,,,,,,21,,13,,5,
Bigazzi et al 1992,ECU009,El Tablon Flow Loma Pishanga,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,,,,,,,,,,,,,,,7310,,0.731,,,,,,,,,,,,,,131.1,,,,,,118,,,,,,,,675,,22.45,,42.74,,,,,,,,,,,,,,,,,,,,,,17.07,,6.51,
Dyrdahl and Speakman 2013,ECU010,La Chimba,Geological,,EDXRF,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,76,,,,,,,6959,163,,,,,,,,,,,42,7,20,1,214,2,8,1,39,3,75,2,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,
Bellot-Gurrlet et al 2008,ECU011,Mojanda,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.9,,75.9,,8.84,,66.3,,12.07,,,,,,867,,16.2,,,,,,,,,,,,,,,,,,,,,,31.47,,18.21,,9.95,
Bellot-Gurrlet et al 2008,ECU011,Mojanda,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.9,,75.9,,8.71,,65.3,,12.43,,,,,,811,,15.83,,,,,,,,,,,,,,,,,,,,,,31.11,,18.48,,10.06,
Bellot-Gurrlet et al 2008,ECU011,Mojanda,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.8,,75.7,,8.55,,61.6,,12.16,,,,,,813,,15.7,,,,,,,,,,,,,,,,,,,,,,30.96,,18.38,,10.02,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,200,,10.29,,131,,12.4,,,,,,1116,,29,,,,,,,,,,,,,,,,,,,,,,23,,19,,8,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,152,,10.25,,101,,11.75,,,,,,1111,,27,,,,,,,,,,,,,,,,,,,,,,,,20,,9,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,151,,9.81,,96,,11.71,,,,,,1085,,28,,,,,,,,,,,,,,,,,,,,,,24,,20,,8.4,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,181,,9.66,,126,,10.94,,,,,,996,,27,,,,,,,,,,,,,,,,,,,,,,21,,16,,7.12,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,244,,10.63,,160,,12.64,,,,,,1124,,30,,,,,,,,,,,,,,,,,,,,,,23,,18,,7.35,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,126,,9.47,,76,,11.21,,,,,,1032,,39,,,,,,,,,,,,,,,,,,,,,,23,,20,,8.8,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,125,,9.53,,77,,11.21,,,,,,1036,,38,,,,,,,,,,,,,,,,,,,,,,23,,20,,8.85,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,176,,9.82,,104,,11.56,,,,,,1028,,30,,,,,,,,,,,,,,,,,,,,,,22,,19,,8.23,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,122,,9.51,,78,,11.16,,,,,,1033,,28,,,,,,,,,,,,,,,,,,,,,,23,,20,,8.79,
Bellot-Gurrlet et al 2008,ECU012,Mullumica,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,227,,10,,135,,11.91,,,,,,1047,,30,,,,,,,,,,,,,,,,,,,,,,21,,18,,7.42,
Bigazzi et al 1992,ECU012,Mullimica Flow,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,8940,,0.894,,,,,,,,,,,,,,151.7,,,,,,211,,,,,,,,975,,38.08,,55.91,,,,,,,,,,,,,,,,,,,,,,20.91,,8.76,
Bigazzi et al 1992,ECU012,Mullumica Flow Laguna Yanacohe,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,7110,,0.711,,,,,,,,,,,,,,175.8,,,,,,132,,,,,,,,940,,37.47,,54.06,,,,,,,,,,,,,,,,,,,,,,21.79,,9.86,
Bigazzi et al 1992,ECU012,Mullumica Flow Laguna Yanacohe,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,8610,,0.861,,,,,,,,,,,,,,139.1,,,,,,159,,,,,,,,959,,31.99,,46.69,,,,,,,,,,,,,,,,,,,,,,17.65,,5.11,
Bigazzi et al 1992,ECU012,Mullumica Upper Flow,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,7130,,0.713,,,,,,,,,,,,,,161.3,,,,,,196,,,,,,,,1152,,35.01,,52.28,,,,,,,,,,,,,,,,,,,,,,20.93,,10.38,
Bigazzi et al 1992,ECU013,Potrerillos Volcano,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,,,,8190,,0.819,,,,,,,,,,,,,,160.1,,,,,,145,,,,,,,,1093,,31.55,,45.76,,,,,,,,,,,,,,,,,,,,,,20.43,,8.79,
Bellot-Gurrlet et al 2008,ECU014,Rio Aliso,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.8,,176.5,,15.62,,85.1,,18.15,,,,,,1209,,20.69,,,,,,,,,,,,,,,,,,,,,,27.36,,12.47,,5.24,
Bellot-Gurrlet et al 2008,ECU015,Rio Bermejo,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.1,,135.8,,13.92,,78,,17.64,,,,,,1173,,25.16,,,,,,,,,,,,,,,,,,,,,,26.722,,14.33,,5.38,
Dyrdahl and Speakman 2013,ECU015,Bermejo,Geological,,EDXRF,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,34,,,,,,,5467,145,,,,,,,,,,,36,4,19,1,135,1,148,17,17,2,91,3,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,
Bellot-Gurrlet et al 2008,ECU016,Rio Granates,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7,,175.3,,8.59,,115.8,,11.62,,,,,,4695,,28.68,,,,,,,,,,,,,,,,,,,,,,27.5,,21.67,,8.62,
Bellot-Gurrlet et al 2008,ECU016,Rio Granates,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.8,,190.6,,8.45,,116,,11.48,,,,,,4703,,28.24,,,,,,,,,,,,,,,,,,,,,,27.27,,21.48,,8.52,
Bellot-Gurrlet et al 2008,ECU016,Rio Granates,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.5,,183.9,,8.38,,114.5,,11.54,,,,,,1717,,29.04,,,,,,,,,,,,,,,,,,,,,,27.42,,21.48,,8.6,
Bellot-Gurrlet et al 2008,ECU017,Rio Negro,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.8,,80.8,,8.1,,80.2,,11.11,,,,,,480,,25.98,,,,,,,,,,,,,,,,,,,,,,30.3,,27.66,,12.51,
Bellot-Gurrlet et al 2008,ECU017,Rio Negro,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.4,,83.7,,8.16,,82.1,,11.12,,,,,,533,,25.03,,,,,,,,,,,,,,,,,,,,,,31.12,,27.58,,12.32,
Bellot-Gurrlet et al 2008,ECU017,Rio Negro,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6,,84.8,,8.16,,82.3,,11.31,,,,,,574,,26.19,,,,,,,,,,,,,,,,,,,,,,31.3,,27.13,,12.16,
Bellot-Gurrlet et al 2008,ECU017,Rio Negro,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.6,,86.3,,8.11,,83.1,,1.18,,,,,,613,,25.11,,,,,,,,,,,,,,,,,,,,,,30.73,,27.01,,12.08,
Bellot-Gurrlet et al 2008,ECU018,Rodeo Corrales,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,74,,8,,59,,10,,,,,,843,,16,,,,,,,,,,,,,,,,,,,,,,25,,19,,10,
Bigazzi et al 1992,ECU018,Rodeo Corrales,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,4940,,0.494,,,,,,,,,,,,,,218.6,,,,,,211,,,,,,,,1015,,22.11,,33.37,,,,,,,,,,,,,,,,,,,,,,21.52,,11.77,
Bellot-Gurrlet et al 2008,ECU019,Quiscatola,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,81,,9.2,,65,,12,,,,,,878,,16.5,,,,,,,,,,,,,,,,,,,,,,,,20,,10,
Bellot-Gurrlet et al 2008,ECU019,Quiscatola,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,88,,9.3,,67,,13,,,,,,947,,17,,,,,,,,,,,,,,,,,,,,,,27,,21,,11,
Bellot-Gurrlet et al 2008,ECU019,Quiscatola,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,111,,9.3,,78,,12,,,,,,1102,,23.8,,,,,,,,,,,,,,,,,,,,,,26,,2,,10,
Bellot-Gurrlet et al 2008,ECU019,Quiscatola,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,88,,9.4,,68,,13,,,,,,955,,17.6,,,,,,,,,,,,,,,,,,,,,,27,,21,,11,
Bellot-Gurrlet et al 2008,ECU019,Yanaurcu,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,76,,9,,61,,11,,,,,,822,,16,,,,,,,,,,,,,,,,,,,,,,26,,19,,11,
Bigazzi et al 1992,ECU019,Cerro Yanaurcu,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,4550,,0.455,,,,,,,,,,,,,,161.4,,,,,,201,,,,,,,,724,,20.3,,37.26,,,,,,,,,,,,,,,,,,,,,,22.93,,11.9,
Bigazzi et al 1992,ECU019,Loma Quiscatola,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,4980,,0.498,,,,,,,,,,,,,,180.7,,,,,,225,,,,,,,,836,,20.33,,33.84,,,,,,,,,,,,,,,,,,,,,,22.71,,12.3,
Bellot-Gurrlet et al 2008,ECU020,Yurac Paccha,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,88,,9.47,,68,,13.2,,,,,,1033,,25.29,,,,,,,,,,,,,,,,,,,,,,21.45,,13.43,,5.38,
Bigazzi et al 1992,ECU020,Yurac Paccha,Artifacts,,INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,10730,,1.073,,,,,,,,,,,,,,212.2,,,,,,242,,,,,,,,1304,,44.92,,73.03,,,,,,,,,,,,,,,,,,,,,,26.39,,11.65,
Bellot-Gurrlet et al 2008,ECU021,Callejones,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,133,,8,,77,,10,,,,,,1025,,25,,,,,,,,,,,,,,,,,,,,,,23,,17,,8,
Bellot-Gurrlet et al 2008,ECU021,Callejones,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,135,,8,,93,,12,,,,,,1026,,25,,,,,,,,,,,,,,,,,,,,,,23,,18,,8,
Bellot-Gurrlet et al 2008,ECU021,Callejones,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,144,,10,,98,,13,,,,,,1107,,29,,,,,,,,,,,,,,,,,,,,,,24,,20,,7,
Bellot-Gurrlet et al 2008,ECU021,Callejones,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,129,,11,,183,,13,,,,,,1157,,31,,,,,,,,,,,,,,,,,,,,,,22,,18,,7,
